"time_period","seb","sample_size","value","sex","category_type","category","ind_code","ind_name","age","area_type","area_code","area_name","lci","uci","se","category_type2","category2","unit","value_note","Quintile"
"202223","FSM eligible",5125,0.51980487804878,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Derbyshire and Nottinghamshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",17948,0.707989748161355,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Derbyshire and Nottinghamshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",1806,0.471207087486157,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Devon",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","Not FSM eligible",9433,0.704123820629704,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Devon",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",1711,0.489187609585038,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Dorset and Somerset",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","Not FSM eligible",10515,0.719828815977176,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Dorset and Somerset",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",4307,0.477362433248201,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"East Anglia",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","Not FSM eligible",21326,0.706180249460752,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"East Anglia",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",1980,0.537373737373737,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"East Yorkshire and Northern Lincolnshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",7862,0.715339608242178,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"East Yorkshire and Northern Lincolnshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",3476,0.500863060989643,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Essex",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",17555,0.731757334092851,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Essex",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","FSM eligible",3504,0.468321917808219,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Gloucestershire, Wiltshire and Bath/Bristol area",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","Not FSM eligible",22827,0.726639505848337,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Gloucestershire, Wiltshire and Bath/Bristol area",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","FSM eligible",7856,0.507255600814664,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Greater Manchester",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",26138,0.681192134057694,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Greater Manchester",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","FSM eligible",3093,0.51762043323634,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Hampshire and Isle of Wight",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",17221,0.739910574298821,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Hampshire and Isle of Wight",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",2280,0.49780701754386,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Herefordshire, Worcestershire and Warwickshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","Not FSM eligible",12077,0.726918936822058,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Herefordshire, Worcestershire and Warwickshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","FSM eligible",5510,0.604174228675136,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Inner London - East",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",17340,0.734140715109573,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Inner London - East",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",1872,0.575854700854701,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Inner London - West",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",5086,0.743609909555643,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Inner London - West",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",3720,0.514784946236559,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Kent",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",17701,0.724422349019829,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Kent",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","FSM eligible",3046,0.496060407091267,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Lancashire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","Not FSM eligible",13473,0.682253395680249,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Lancashire",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","FSM eligible",2567,0.501363459291001,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Leicestershire, Rutland and Northamptonshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",18582,0.705736734474222,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Leicestershire, Rutland and Northamptonshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",1647,0.548876745598057,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Lincolnshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",5679,0.720197217820039,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Lincolnshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",4191,0.486518730613219,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Merseyside",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","Not FSM eligible",12708,0.688385269121813,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Merseyside",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","FSM eligible",885,0.499435028248588,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"North Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",6504,0.735239852398524,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"North Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",3526,0.519852524106636,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Northumberland, and Tyne and Wear",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",11351,0.718262708131442,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Northumberland, and Tyne and Wear",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",3911,0.582971107133725,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - East and North East",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",20360,0.717387033398821,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - East and North East",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",2239,0.542206342117017,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - South",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",12184,0.73908404464872,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - South",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",3112,0.551413881748072,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - West and North West",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",20425,0.723133414932681,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Outer London - West and North West",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",3125,0.52416,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Shropshire and Staffordshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",14036,0.716372185807923,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Shropshire and Staffordshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q2"
"202223","FSM eligible",3728,0.519849785407725,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"South Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q4"
"202223","Not FSM eligible",11507,0.721473885461024,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"South Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",3757,0.47458078253926,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Surrey, East and West Sussex",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","Not FSM eligible",25092,0.746652319464371,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Surrey, East and West Sussex",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","FSM eligible",3489,0.506735454284895,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Tees Valley and Durham",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","Not FSM eligible",9303,0.717725464903795,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"Tees Valley and Durham",NA,NA,NA,NA,NA,"Percentage",NA,"Q3"
"202223","FSM eligible",9386,0.546345621137865,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"West Midlands",NA,NA,NA,NA,NA,"Percentage",NA,"Q5 (Best 20%)"
"202223","Not FSM eligible",27113,0.687087375059934,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"West Midlands",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","FSM eligible",5177,0.482132509175198,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"West Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
"202223","Not FSM eligible",22497,0.687736142596791,"Total",NA,NA,"IN11","Level of development at age 5",5,"ITL2",NA,"West Yorkshire",NA,NA,NA,NA,NA,"Percentage",NA,"Q1 (Worst 20%)"
